id;documento
1;A aeronave reportou turbulência severa no nível de voo 350.
2;O voo GLO1234 solicitou prioridade para pouso devido a uma emergência médica.
3;As condições meteorológicas pioraram rapidamente. O piloto decidiu alternar para Viracopos.
4;A torre de controle instruiu a aeronave a arremeter devido à presença de pássaros na pista 14.
5;O sistema de radar apresentou instabilidade temporária no setor sul.
6;Uma aeronave de pequeno porte invadiu inadvertidamente o espaço aéreo controlado.
7;O comandante relatou falha no sistema hidráulico direito durante a decolagem.
8;A pista principal foi interditada por trinta minutos para inspeção de segurança.
9;O centro de controle de área coordenou o desvio de rota de cinco aeronaves comerciais.
10;A comunicação via rádio falhou por dois minutos. A tripulação utilizou o transponder.
11;Durante o taxiamento, a aeronave colidiu levemente a asa com um veículo de serviço.
12;A neblina intensa reduziu a visibilidade horizontal. As operações foram suspensas.
13;O voo TAM3542 precisou aguardar em órbita por quarenta minutos devido ao intenso tráfego.
14;Uma indicação de fumaça ativou os alarmes sonoros no compartimento de carga.
15;O plano de voo foi rejeitado pelo sistema automatizado devido a uma inconsistência.
16;A decolagem foi abortada em baixa velocidade após alerta de superaquecimento no motor.
17;O controle de aproximação vetorou três aeronaves sequencialmente para o pouso.
18;Foi reportado o avistamento de um balão não tripulado próximo à trajetória final da pista 32.
19;A equipe solicitou reboque até o hangar após identificar vazamento de combustível na asa.
20;O piloto reportou windshear severo a quinhentos pés de altitude na aproximação final.
21;O voo internacional declarou emergência por baixo nível de combustível.
22;A calibração dos instrumentos de auxílio à navegação foi concluída com sucesso.
23;Um passageiro apresentou comportamento indisciplinado e a Polícia Federal foi acionada.
24;A operação de reabastecimento foi interrompida devido a descargas elétricas no aeroporto.
25;O controlador orientou mudança de proa para evitar aproximação com outra aeronave.
26;O voo de instrução foi cancelado devido às rajadas de vento fora dos limites da aeronave.
27;A tripulação solicitou assistência especial para desembarque de passageiro com mobilidade reduzida.
28;O fechamento do espaço aéreo ocorreu devido a exercícios militares programados na região costeira.
29;O sistema de pouso por instrumentos da pista 14 foi reativado após manutenção preventiva.
30;A aeronave cargueira reportou peso máximo excedido. O despachante redistribuiu a carga.